Run	Operation	Algorithm	Tool	Compression level *	Parameters	Records	File size (KB)	Compressed file size (KB)	Execution Time (s)	Mean Power (W)	Energy Consumption (J)
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	16	86400	20748	9308	10,887	0,42	10,76
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	16	86400	20748	9308	10,862	0,42	11,23
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	16	86400	20748	9308	10,863	0,42	10,65
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	32	86400	40996	18392	21,386	0,53	20,37
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	32	86400	40996	18392	21,395	0,54	20,6
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	32	86400	40996	18392	21,401	0,55	21,18
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	32	86400	40996	18392	21,27	0,55	20,25
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	32	86400	40996	18392	21,232	0,55	20,25
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	64	86400	81500	36544	41,974	0,67	41,9
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	64	86400	81500	36544	42,012	0,68	42,59
3	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	64	86400	81500	36544	41,955	0,68	42,25
4	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	64	86400	81500	36544	42,142	0,69	42,25
5	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	64	86400	81500	36544	42,015	0,68	42,01
1	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	128	86400	162496	72848	86,089	0,81	91,67
2	Compression	DEFLATE (LZ77, Lempel-Ziv 1977)	gzip	6 (default)	128	86400	162496	72848	85,83	0,77	89,12
